Date,VTI,VXUS,BND,BTC
2019-06-30,0.07078000000000001,0.057741,0.012468,0.339817813622348
2019-07-31,0.014125,-0.019905,0.001502,-0.11993086971099742
2019-08-31,-0.020825999999999997,-0.021663,0.027679,-0.03993672836581863
2019-09-30,0.017803,0.027280000000000002,-0.005676,-0.1439075521130917
2019-10-31,0.02106,0.034262,0.003104,0.11509907898409155
2019-11-30,0.037877999999999995,0.00992,-0.00041,-0.16095466307993322
2019-12-31,0.028037,0.043766,-0.000736,-0.07160125234425452
2020-01-31,-0.000611,-0.033938,0.019795,0.3067808283286326
2020-02-29,-0.07998999999999999,-0.065985,0.016671000000000002,-0.07706945155645162
2020-03-31,-0.139103,-0.16257100000000002,-0.014288,-0.24926448103635213
2020-04-30,0.131332,0.076025,0.027589000000000002,0.3618355378569653
